,거래일자,업체명,금액
585,2021-10-29,씨유역삼푸른점,950
586,2021-10-28,(주)감성타코 강남역점,8000
587,2021-10-27,오향절면,48000
588,2021-10-27,카페리빈 강남점,1600
589,2021-10-26,씨유역삼푸른점,950
590,2021-10-26,오로스트,17500
591,2021-10-26,SK텔레콤-자동납부,81830
592,2021-10-25,씨유역삼푸른점,2300
593,2021-10-24,지에스25 관악블루점,4500
594,2021-10-22,(주)이마트 보령점,28760
595,2021-10-22,씨유역삼푸른점,2000
596,2021-10-22,정성온누리약국,3000
597,2021-10-22,티머니 고속버스,17100
598,2021-10-21,KB국민카드_카카오페이(일반)_개인영세,11000
599,2021-10-21,카카오페이(택시),11600
600,2021-10-20,씨유역삼푸른점,2000
601,2021-10-20,씨유역삼푸른점,3800
602,2021-10-20,씨유역삼푸른점,950
603,2021-10-19,카페리빈 강남점,4500
